method,sample size,rho,eps,func,p* mean,p* std,NS mean,NS std,Popt mean,Popt std
EG,40,3,1,naive,0.409,0.317,19.9,3.9,0.535,0.499
EG,40,4,1,naive,0.409,0.34,19.9,4.1,0.519,0.5
EG,40,5,1,naive,0.407,0.356,19.9,4.2,0.506,0.5
EG,40,2,1,naive,0.403,0.281,19.8,3.7,0.554,0.497
EG,40,1,1,naive,0.374,0.212,19.4,3.5,0.577,0.494
EG,40,0.5,1,naive,0.337,0.151,19,3.3,0.583,0.493
EG,80,4,1,naive,0.493,0.342,41.4,6.3,0.622,0.485
EG,80,5,1,naive,0.493,0.361,41.4,6.5,0.606,0.489
EG,80,3,1,naive,0.492,0.315,41.3,5.9,0.645,0.479
EG,80,2,1,naive,0.479,0.273,40.9,5.5,0.67,0.47
EG,80,1,1,naive,0.433,0.201,39.9,5,0.696,0.46
EG,80,0.5,1,naive,0.376,0.137,38.7,4.7,0.704,0.456
EG,120,4,1,naive,0.548,0.334,63.4,7.9,0.69,0.463
EG,120,5,1,naive,0.545,0.356,63.5,8.4,0.667,0.471
EG,120,3,1,naive,0.542,0.305,63.1,7.5,0.71,0.454
EG,120,2,1,naive,0.523,0.262,62.4,6.9,0.736,0.441
EG,120,1,1,naive,0.467,0.189,60.5,6.2,0.764,0.425
EG,120,0.5,1,naive,0.399,0.127,58.5,5.8,0.77,0.421
TS,40,0.5,1,cubic,0.474,0.386,20.6,4.1,0.553,0.497
TS,40,1,1,cubic,0.472,0.364,20.5,4,0.563,0.496
TS,40,2,1,cubic,0.469,0.336,20.5,3.9,0.578,0.494
TS,40,3,1,cubic,0.463,0.319,20.4,3.8,0.584,0.493
TS,40,4,1,cubic,0.461,0.308,20.4,3.8,0.589,0.492
TS,40,5,1,cubic,0.458,0.3,20.3,3.8,0.592,0.491
TS,80,2,1,cubic,0.547,0.345,42.3,6.1,0.666,0.472
TS,80,1,1,cubic,0.545,0.378,42.4,6.4,0.637,0.481
TS,80,3,1,cubic,0.545,0.325,42.3,5.9,0.681,0.466
TS,80,4,1,cubic,0.543,0.313,42.2,5.8,0.688,0.463
TS,80,5,1,cubic,0.538,0.304,42.1,5.8,0.691,0.462
TS,80,0.5,1,cubic,0.536,0.406,42.4,6.7,0.609,0.488
TS,120,2,1,cubic,0.598,0.341,64.7,7.9,0.719,0.45
TS,120,3,1,cubic,0.598,0.32,64.6,7.6,0.737,0.44
TS,120,1,1,cubic,0.594,0.378,64.8,8.4,0.685,0.464
TS,120,4,1,cubic,0.594,0.308,64.5,7.5,0.745,0.436
TS,120,5,1,cubic,0.591,0.298,64.4,7.4,0.751,0.432
TS,120,0.5,1,cubic,0.576,0.411,64.6,9,0.643,0.479
TS,40,0.5,1,linear,0.473,0.343,20.5,3.9,0.578,0.494
TS,40,1,1,linear,0.461,0.301,20.4,3.8,0.597,0.491
TS,40,2,1,linear,0.443,0.262,20.1,3.6,0.606,0.489
TS,40,3,1,linear,0.433,0.244,20.1,3.6,0.61,0.488
TS,40,4,1,linear,0.427,0.233,20,3.6,0.611,0.487
TS,40,5,1,linear,0.421,0.226,19.9,3.5,0.61,0.488
TS,80,0.5,1,linear,0.55,0.357,42.5,6.2,0.661,0.473
TS,80,1,1,linear,0.543,0.31,42.2,5.8,0.695,0.46
TS,80,2,1,linear,0.524,0.268,41.8,5.6,0.716,0.451
TS,80,3,1,linear,0.514,0.25,41.6,5.4,0.726,0.446
TS,80,4,1,linear,0.506,0.24,41.4,5.4,0.725,0.446
TS,80,5,1,linear,0.5,0.233,41.3,5.3,0.73,0.444
TS,120,0.5,1,linear,0.602,0.356,64.9,8,0.711,0.453
TS,120,1,1,linear,0.597,0.306,64.6,7.5,0.754,0.431
TS,120,2,1,linear,0.58,0.264,64,7.1,0.781,0.414
TS,120,3,1,linear,0.566,0.248,63.6,6.9,0.787,0.409
TS,120,4,1,linear,0.557,0.239,63.4,6.9,0.789,0.408
TS,120,5,1,linear,0.55,0.233,63.2,6.9,0.789,0.408
